zip,type,primary_city,state,county,country,irs_estimated_population
25706,PO BOX,Huntington,WV,Cabell County,US,41
25707,PO BOX,Huntington,WV,Cabell County,US,18
25708,PO BOX,Huntington,WV,Cabell County,US,0
25709,PO BOX,Huntington,WV,Cabell County,US,0
25710,PO BOX,Huntington,WV,Cabell County,US,0
25711,PO BOX,Huntington,WV,Cabell County,US,31
25712,PO BOX,Huntington,WV,Cabell County,US,49
25713,PO BOX,Huntington,WV,Cabell County,US,59
25714,PO BOX,Huntington,WV,Cabell County,US,28
25715,PO BOX,Huntington,WV,Cabell County,US,0
25716,PO BOX,Huntington,WV,Cabell County,US,33
25717,PO BOX,Huntington,WV,Cabell County,US,0
25718,PO BOX,Huntington,WV,Cabell County,US,0
25719,PO BOX,Huntington,WV,Cabell County,US,0
25720,PO BOX,Huntington,WV,Cabell County,US,22
25721,PO BOX,Huntington,WV,Cabell County,US,37
25722,PO BOX,Huntington,WV,Cabell County,US,0
25723,PO BOX,Huntington,WV,Cabell County,US,0
25724,PO BOX,Huntington,WV,Cabell County,US,0
25725,PO BOX,Huntington,WV,Cabell County,US,0
25726,PO BOX,Huntington,WV,Cabell County,US,0
25727,PO BOX,Huntington,WV,Cabell County,US,0
25728,PO BOX,Huntington,WV,Cabell County,US,0
25729,PO BOX,Huntington,WV,Cabell County,US,42
25755,UNIQUE,Huntington,WV,Cabell County,US,34
25770,PO BOX,Huntington,WV,Cabell County,US,0
25771,PO BOX,Huntington,WV,Cabell County,US,0
25772,PO BOX,Huntington,WV,Cabell County,US,25
25773,PO BOX,Huntington,WV,Cabell County,US,21
25774,PO BOX,Huntington,WV,Cabell County,US,33
25775,PO BOX,Huntington,WV,Cabell County,US,29
25776,PO BOX,Huntington,WV,Cabell County,US,25
25777,PO BOX,Huntington,WV,Cabell County,US,31
25778,PO BOX,Huntington,WV,Cabell County,US,14
25779,PO BOX,Huntington,WV,Cabell County,US,0
25801,STANDARD,Beckley,WV,Raleigh County,US,22820
25802,PO BOX,Beckley,WV,Raleigh County,US,1372
25810,PO BOX,Allen Junction,WV,Wyoming County,US,142
25811,STANDARD,Amigo,WV,Wyoming County,US,107
25812,STANDARD,Ansted,WV,Fayette County,US,1290
25813,STANDARD,Beaver,WV,Raleigh County,US,4220
25817,STANDARD,Bolt,WV,Raleigh County,US,580
25818,PO BOX,Bradley,WV,Raleigh County,US,1157
25820,STANDARD,Camp Creek,WV,Mercer County,US,360
25823,STANDARD,Coal City,WV,Raleigh County,US,1510
25825,STANDARD,Cool Ridge,WV,Raleigh County,US,1900
25826,PO BOX,Corinne,WV,Wyoming County,US,250
25827,STANDARD,Crab Orchard,WV,Raleigh County,US,2340
25831,STANDARD,Danese,WV,Fayette County,US,1020
25832,STANDARD,Daniels,WV,Raleigh County,US,4180
25833,PO BOX,Dothan,WV,Fayette County,US,0
25836,PO BOX,Eccles,WV,Raleigh County,US,413
25837,STANDARD,Edmond,WV,Fayette County,US,260
25839,STANDARD,Fairdale,WV,Raleigh County,US,1110
25840,STANDARD,Fayetteville,WV,Fayette County,US,6350
25841,STANDARD,Flat Top,WV,Mercer County,US,460
25843,STANDARD,Ghent,WV,Raleigh County,US,890
25844,STANDARD,Glen Daniel,WV,Raleigh County,US,1010
25845,STANDARD,Glen Fork,WV,Wyoming County,US,470
25846,STANDARD,Glen Jean,WV,Fayette County,US,280
25848,STANDARD,Glen Rogers,WV,Wyoming County,US,213
25849,STANDARD,Glen White,WV,Raleigh County,US,227
25851,PO BOX,Harper,WV,Raleigh County,US,367
25853,PO BOX,Helen,WV,Raleigh County,US,153
25854,STANDARD,Hico,WV,Fayette County,US,900
25855,STANDARD,Hilltop,WV,Fayette County,US,415
25857,STANDARD,Josephine,WV,Raleigh County,US,155
25860,PO BOX,Lanark,WV,Raleigh County,US,229
25862,STANDARD,Lansing,WV,Fayette County,US,220
25864,STANDARD,Layland,WV,Fayette County,US,230
25865,STANDARD,Lester,WV,Raleigh County,US,1020
25866,PO BOX,Lochgelly,WV,Fayette County,US,243
25868,STANDARD,Lookout,WV,Fayette County,US,510
25870,STANDARD,Maben,WV,Wyoming County,US,187
25871,PO BOX,Mabscott,WV,Raleigh County,US,870
25873,PO BOX,Mac Arthur,WV,Raleigh County,US,917
25875,PO BOX,Mc Graws,WV,Wyoming County,US,251
25876,STANDARD,Saulsville,WV,Wyoming County,US,27
25878,PO BOX,Midway,WV,Raleigh County,US,678
25879,PO BOX,Minden,WV,Fayette County,US,336
25880,STANDARD,Mount Hope,WV,Raleigh County,US,4200
25882,STANDARD,Mullens,WV,Wyoming County,US,1500
25888,UNIQUE,Mount Hope,WV,,US,0
25901,STANDARD,Oak Hill,WV,Fayette County,US,8400
